id_servicio,id_cliente,id_tiempo,id_ubicacion,id_dispositivo,id_facturacion,id_promocion,id_soporte,id_consumo,duracion_llamada,costo_servicio,tipo_transaccion,ancho_banda,cantidad_datos_consumidos
5,767,20,4,4,25,4,5,2,1.29,62.6,internet,88.69,267.78
2,1374,9,6,4,16,1,2,4,46.18,66.77,llamada,21.64,490.56
4,415,10,5,5,17,3,5,2,15.56,66.13,internet,55.53,758.46
4,1980,18,7,4,17,5,2,4,28.59,26.61,internet,15.01,710.32
4,1487,1,5,5,39,4,1,4,56.07,7.26,llamada,55.69,60.79
5,261,23,7,3,32,3,5,1,2.83,20.78,internet,72.9,761.69
5,773,28,5,2,22,2,3,4,35.09,91.47,TV,73.28,180.25
2,1676,5,6,5,6,5,1,2,13.13,29.59,llamada,94.71,579.75
2,454,11,8,1,38,3,3,3,37.74,33.92,llamada,67.92,929.6
3,234,12,6,5,37,4,4,5,51.61,46.79,llamada,48.84,373.59
1,189,25,3,4,13,3,3,5,44.85,55.68,llamada,79.42,575.23
1,105,19,1,2,36,2,4,3,38.69,98.5,internet,70.5,821.83
3,1100,22,8,2,3,5,4,5,37.46,23.46,internet,35.71,321.08
3,313,25,7,1,20,4,3,3,23.67,11.8,internet,11.44,444.72
5,211,19,9,1,18,1,1,3,28.49,84.57,TV,34.1,3.55
1,128,17,9,5,6,4,4,5,47.31,71.42,internet,79.64,410.03
1,172,25,6,2,33,1,1,2,41.15,29.06,internet,13.67,61.47
3,898,16,6,1,33,1,5,2,58.02,36.98,llamada,98.69,328.03
1,1205,29,8,3,46,5,2,4,23.73,82.5,TV,9.0,548.6
4,1165,15,9,3,30,2,5,5,7.2,89.38,TV,22.04,538.56
3,633,3,9,3,30,1,2,3,43.64,62.55,internet,34.7,410.42
1,1843,23,3,4,31,1,5,1,9.18,72.23,internet,68.31,430.29
1,501,25,2,4,29,3,3,2,57.38,95.81,TV,20.22,526.25
5,669,7,10,1,34,1,3,2,18.66,26.32,TV,56.63,442.01
2,221,22,6,4,9,1,2,3,34.52,52.07,llamada,63.88,934.98
2,1332,8,3,2,39,2,1,4,20.1,28.83,llamada,45.74,568.66
4,1146,24,7,2,3,3,3,1,8.0,14.08,internet,76.75,302.03
1,58,6,7,3,44,4,5,2,36.08,37.83,internet,84.17,537.85
1,148,4,2,2,31,5,3,2,31.2,29.16,internet,71.51,241.57
3,1792,8,5,3,40,3,1,2,7.04,46.41,internet,6.74,282.21
1,24,4,10,4,8,5,2,1,2.44,63.27,internet,77.02,719.47
5,1684,21,10,3,15,5,5,1,59.12,60.57,llamada,37.8,668.32
3,1515,21,1,4,5,1,5,3,26.56,78.53,internet,7.75,421.79
1,666,15,2,5,1,3,1,3,57.04,88.44,TV,99.15,85.22
1,1543,2,10,4,16,2,4,1,58.06,19.53,TV,24.25,51.05
3,1596,22,3,1,38,4,4,5,52.51,96.32,llamada,55.47,439.09
3,466,9,10,2,30,1,5,1,35.43,86.32,internet,74.8,871.87
1,717,10,3,1,35,1,3,1,47.02,45.83,internet,28.14,284.0
5,1606,27,8,1,37,4,3,2,43.93,36.19,llamada,71.0,960.71
5,1996,16,4,4,31,2,3,1,1.21,68.6,TV,42.42,304.9
1,730,28,2,2,12,5,5,4,52.19,97.33,internet,60.96,283.02
2,739,27,1,4,10,5,2,4,31.09,7.39,internet,4.87,680.41
3,944,18,5,1,43,5,2,3,11.88,9.8,internet,22.19,582.16
4,865,20,9,1,3,4,3,5,5.74,92.77,internet,46.0,235.64
3,724,26,7,3,17,1,4,3,15.01,66.11,llamada,18.41,655.77
4,528,9,2,1,21,3,2,1,6.31,87.23,TV,19.59,604.72
5,480,18,8,1,41,2,1,2,27.56,27.06,TV,22.5,827.61
3,1891,19,8,3,17,3,1,1,10.9,84.62,TV,86.05,772.62
3,301,3,5,1,28,5,5,4,28.79,18.58,internet,84.87,687.41
4,372,8,10,4,46,4,4,3,38.59,16.15,llamada,95.22,812.72
2,1857,22,8,5,9,4,2,2,19.93,90.25,llamada,44.24,876.62
1,1055,7,9,1,38,1,2,4,58.46,19.79,llamada,71.8,247.63
1,1515,15,8,2,43,4,4,1,43.51,25.89,llamada,89.49,204.07
1,958,19,2,4,34,2,5,3,37.19,24.08,TV,91.93,906.32
2,196,13,9,5,31,2,3,4,40.79,84.75,llamada,9.58,448.54
5,794,30,9,4,40,1,4,2,25.79,47.51,internet,87.18,379.7
3,654,11,5,1,26,1,4,4,15.11,91.07,TV,3.27,157.31
5,847,1,7,4,30,1,3,5,16.81,17.65,TV,4.86,783.7
5,338,19,7,4,12,3,3,4,38.55,96.54,TV,96.51,180.19
3,1163,12,1,1,41,3,5,2,25.25,40.66,llamada,44.6,291.45
3,1934,2,3,3,39,2,1,2,40.27,53.49,internet,39.88,575.09
4,733,13,6,3,7,4,3,5,5.4,58.62,llamada,85.98,121.04
2,892,9,10,1,32,5,5,2,9.2,93.22,TV,41.15,927.87
5,888,1,7,4,50,3,4,2,46.88,75.01,TV,68.15,603.41
3,163,7,3,2,32,2,3,5,26.05,15.14,llamada,29.51,922.21
4,603,1,9,2,25,3,1,4,25.71,44.4,llamada,99.86,640.25
4,88,23,8,2,47,5,4,4,56.44,62.57,TV,86.98,929.82
2,942,15,5,1,41,2,5,4,46.46,96.98,internet,71.14,405.36
4,997,13,2,3,48,1,2,5,16.07,31.32,TV,19.75,254.86
5,384,22,9,3,39,5,5,4,12.27,53.52,internet,9.63,979.93
1,258,3,7,1,42,4,2,4,30.35,41.35,TV,5.58,836.35
2,992,29,4,2,32,5,5,5,44.56,62.21,internet,19.8,111.51
5,1365,12,1,1,20,1,3,2,27.53,31.85,llamada,5.71,248.32
4,1860,23,7,5,24,1,1,2,59.27,14.76,llamada,63.21,964.75
3,1695,12,6,5,45,2,4,2,3.42,97.45,llamada,15.7,930.32
5,987,2,1,5,32,3,1,1,33.87,61.76,TV,95.42,655.24
1,1585,9,4,5,7,3,5,4,20.88,36.09,llamada,85.25,939.1
3,1537,17,4,3,19,3,4,1,7.02,92.77,internet,42.32,608.88
2,327,7,4,5,49,1,3,1,17.25,18.58,TV,58.61,946.83
5,1971,30,2,4,23,5,3,5,26.97,12.22,internet,13.6,138.73
2,632,9,4,4,29,4,4,3,57.23,74.94,TV,70.14,787.68
5,930,25,5,1,32,2,5,2,55.74,90.66,TV,62.26,95.35
2,1826,16,10,2,42,2,4,5,39.27,22.35,TV,4.64,89.1
4,1249,20,8,3,26,4,4,3,7.38,87.79,TV,1.41,183.03
2,1821,4,2,2,19,3,1,5,38.45,20.93,TV,40.82,357.34
5,1850,10,1,1,10,1,2,2,45.05,10.6,internet,96.18,506.88
4,1190,9,3,1,13,4,4,1,12.92,38.0,llamada,38.69,324.21
4,1429,29,4,1,29,5,1,4,2.3,12.31,internet,95.38,854.25
2,803,8,1,3,8,2,4,1,28.39,68.17,internet,26.39,695.58
3,1458,23,1,2,46,2,3,3,9.78,42.36,internet,76.56,359.65
5,1724,28,1,2,18,4,3,2,31.87,11.67,internet,90.44,885.59
3,198,26,8,1,29,1,5,3,49.99,11.42,llamada,32.86,730.47
5,1942,10,7,4,20,2,1,5,16.52,60.79,TV,45.61,86.71
1,635,20,7,3,4,2,1,3,1.38,97.16,internet,68.26,905.37
1,1915,22,2,3,28,2,3,1,6.19,62.62,llamada,84.74,852.0
4,188,24,3,3,41,2,3,3,42.85,80.52,internet,16.73,113.17
2,517,11,6,4,27,2,1,1,34.93,6.03,TV,14.75,375.16
3,1447,5,8,3,11,1,1,3,51.23,40.27,TV,14.46,403.72
2,233,7,10,2,37,3,3,5,9.71,72.16,llamada,68.73,392.1
3,586,7,3,3,34,2,2,2,30.63,95.35,internet,61.64,261.13
3,1612,17,8,5,34,5,5,3,29.42,26.28,TV,31.21,405.53
1,624,2,9,5,10,3,2,4,22.49,73.6,llamada,32.87,374.39
4,729,26,8,3,12,2,4,1,48.71,24.05,internet,72.14,58.24
4,611,23,8,1,7,3,1,4,7.39,47.71,internet,37.02,385.69
2,833,15,2,5,2,1,2,5,5.58,75.04,llamada,3.92,9.4
4,434,19,4,2,12,5,2,2,8.73,8.64,internet,24.02,126.21
5,1831,16,7,2,22,4,3,2,19.48,57.6,TV,89.42,552.3
2,1871,2,2,3,35,4,5,5,29.11,12.51,internet,65.46,757.77
1,888,26,2,3,47,2,1,5,34.49,77.51,llamada,95.66,264.36
1,1847,7,6,1,30,5,5,2,20.9,45.96,internet,93.4,412.26
5,940,21,6,4,21,1,3,3,33.1,99.42,internet,69.59,579.25
2,1684,28,2,5,29,4,3,3,46.44,82.11,llamada,61.92,969.16
4,1428,1,1,2,25,4,4,1,4.22,46.74,llamada,83.34,193.27
3,185,7,4,2,8,3,1,5,52.83,73.7,TV,21.33,711.96
1,1783,1,8,3,39,5,5,5,46.65,22.04,llamada,13.18,651.87
3,2,29,7,1,46,4,3,4,55.85,90.95,llamada,62.3,779.91
2,820,19,3,1,35,1,1,4,13.88,44.21,llamada,76.9,921.5
5,1195,25,2,2,42,5,3,1,31.34,86.0,TV,96.81,976.63
1,621,11,1,2,24,3,2,2,15.48,7.68,internet,90.28,738.26
5,1888,14,1,5,32,5,5,1,11.96,57.24,llamada,94.72,990.57
5,1310,13,9,1,34,4,2,3,7.99,62.64,TV,49.46,417.05
1,1086,8,6,4,7,2,2,2,14.45,14.75,internet,46.07,525.66
1,952,21,8,5,32,4,2,5,23.13,78.66,internet,27.4,514.05
